X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-40,-30,130,-39.79803664,-26.32343434,138.8644129,0.20196336,3.676565657,8.864412877,3.682108666,9.598736369
-70,70,130,-67.66015504,68.50192742,139.1997612,2.339844964,-1.498072585,9.199761161,2.778326101,9.610135345
-40,10,130,-41.51482941,15.08248366,138.0243783,-1.51482941,5.082483664,8.024378278,5.30342798,9.618575523
50,-50,130,50.62379403,-52.54308846,139.2794232,0.623794026,-2.543088457,9.279423175,2.618476253,9.641789894
50,-40,130,50.31687681,-41.17957729,139.5721599,0.316876808,-1.179577292,9.572159918,1.221398174,9.649769893
60,-20,130,62.74771274,-22.63352026,138.9092844,2.747712743,-2.63352026,8.909284443,3.805962989,9.688173386
50,-10,130,50.78342704,-7.394611975,139.3277722,0.783427038,2.605388025,9.327772163,2.720625789,9.716436497
-10,50,130,-7.309234784,50.47073062,139.3300037,2.690765216,0.470730625,9.330003718,2.731630423,9.721665194
-50,30,130,-45.10786067,29.53007314,138.4713042,4.892139333,-0.469926861,8.471304189,4.914657516,9.793714983
10,-70,130,13.03894868,-69.25434255,139.3727185,3.038948683,0.745657446,9.372718535,3.129091582,9.881248244
60,20,130,62.88050617,18.11248546,139.3227244,2.880506172,-1.887514537,9.322724409,3.443838982,9.938471579
70,20,130,74.57659829,19.25250728,138.807863,4.576598293,-0.747492718,8.807863049,4.637240268,9.954016716
-70,-20,130,-71.22274476,-17.95757203,139.683241,-1.222744764,2.042427975,9.683241033,2.380465667,9.971548209
20,-30,130,21.89008732,-27.62153222,139.5069094,1.890087316,2.378467784,9.506909364,3.038015646,9.980524271
